pre,post,Z
PVP,RIA,0.972
PVQ,ASE,0.972
PVQ,AVL,0.972
PVQ,RMG,0.972
PVW,AVD,0.972
PVW,MNVC,0.972
RIA,ADF,0.972
RIA,BAG,0.972
RIA,MUHEAD,0.972
RIA,URX,0.972
RIB,AIZ,0.972
RIB,RIH,0.972
RIC,ADL,0.972
RIF,AWB,0.972
RIF,CEP,0.972
RIF,MUHEAD,0.972
RIF,PVC,0.972
RIF,RIP,0.972
RIG,ADL,0.972
RIG,RIH,0.972
RIM,AVK,0.972
RIP,AVB,0.972
RIV,RMH,0.972
RMF,RIM,0.972
RMF,RMH,0.972
RMG,ADE,0.972
RMG,AIB,0.972
RMG,ASH,0.972
RMG,AVD,0.972
RMG,IL2,0.972
RMG,MUBODY,0.972
RMG,RID,0.972
RMG,RIG,0.972
RMH,RIC,0.972
URB,ADL,0.972
URB,AVB,0.972
URB,OLQ,0.972
URX,AWB,0.972
URX,BAG,0.972
URX,CEP,0.972
AVH,AIA,-0.972
PVP,AIB,-0.972
ADA,AIN,-0.972
AVD,ALM,-0.972
ADF,ASG,-0.972
AWC,ASK,-0.972
AFD,AUA,-0.972
ASJ,AVB,-0.972
PHC,AVB,-0.972
ADA,AVL,-0.972
AFD,AWA,-0.972
AFD,CEPsh,-0.972
AIB,CEPsh,-0.972
ADE,DVA,-0.972
ADA,DVC,-0.972
AVJ,hyp,-0.972
PVC,hyp,-0.972
RIB,IL2,-0.972
ASJ,OLQ,-0.972
AVF,PHA,-0.972
PVN,PHC,-0.972
RIM,PVC,-0.972
FLP,PVR,-0.972
RMH,RIB,-0.972
ASJ,RIF,-0.972
OLL,RIG,-0.972
ASJ,URA,-0.972
ADF,AUA,0.963
SAB,SAA,-0.957
RIV,RIA,-0.957
DVA,AVA,0.954
PVM,DVA,-0.954
IL2,RIH,-0.952
FLP,AVE,0.950
DVA,PVC,0.944
CEP,OLL,0.943
SDQ,AVB,-0.941
AVK,hyp,0.936
ASE,AWC,0.923
RIG,RMH,-0.922
ALA,RIA,0.920
AVG,AVG,0.920
AVG,DVC,0.920
AVG,PVT,0.920
AVL,AVK,0.920
AVL,DVC,0.920
AVL,hyp,0.920
AVL,PVP,0.920
AVL,RIM,0.920
AVM,RID,0.920
DVA,AVB,0.920
DVA,MUBODY,0.920
DVA,PVR,0.920
DVB,PHC,0.920
DVC,RIV,0.920
PQR,PHB,0.920
PQR,PVC,0.920
PVM,AVM,0.920
PVM,MUBODY,0.920
PVR,ALM,0.920
PVR,CEP,0.920
PVT,RIH,0.920
RIR,AQR,0.920
RIR,ASH,0.920
RIR,RMG,0.920
AQR,ALM,-0.920
PVT,AVE,-0.920
PQR,AVF,-0.920
DVA,AVH,-0.920
DVA,DVA,-0.920
RIH,IL1,-0.920
AVL,PVT,-0.920
PVT,RIB,-0.920
RIH,RIH,-0.920
PVT,SAA,-0.920
ADF,ADA,0.917
ALN,AVA,0.917
PVQ,MNVC,0.917
PDE,PVR,-0.917
URX,AVE,-0.917
CEP,RIC,-0.907
RIR,RIG,0.901
DVC,CEPsh,-0.901
PQR,PVN,-0.901
MNVC,MUBODY,-0.899
AIZ,AIB,0.896
ALN,SMB,0.871
AIN,AIA,-0.865
RMG,SMD,-0.865
SMB,PLN,-0.864
AVD,AVE,0.862
RMG,SMB,-0.862
MNVC,PHB,-0.849
IL2,RMD,-0.845
IL2,OLL,0.842
RMD,SMD,-0.842
PHC,MNVC,0.839
OLQ,CEP,0.837
SMB,RMG,0.837
AQR,PVC,-0.829
DVC,RIB,-0.824
IL2,AUA,0.816
IL2,AVB,0.816
IL2,CEPsh,0.816
RMD,AVK,0.816
RMD,RIS,0.816
IL1,SMD,-0.816
ADL,AVJ,0.811
RIG,ALN,0.804
RIR,AUA,0.803
PQR,DA08,-0.769
AIN,BAG,0.768
RIS,AVE,-0.759
SMB,SMB,-0.758
ASE,ADL,0.753
PVP,RIG,0.753
RIC,RIV,0.753
RIG,PVT,0.753
ASH,AVF,-0.753
AVA,hyp,-0.753
RIA,IL1,-0.753
RIG,PVP,-0.753
ASG,ASE,0.744
AVD,PQR,0.744
BAG,AIY,0.744
RIM,RIA,0.744
URB,IL2,0.744
URX,AVA,0.744
ASH,ASK,-0.744
AVK,PVP,-0.744
RMG,OLL,-0.744
AVA,AS10,-0.743
PHA,MNVC,-0.743
RIV,RIV,-0.737
PHB,PHB,-0.735
AVM,AVB,-0.725
FLP,FLP,0.708
CEP,PVR,-0.707
MNVC,hyp,0.707
MNVC,SAA,0.707
CEP,CEPsh,0.707
ADA,PVP,0.707
ADA,URA,0.707
ADE,ALM,0.707
ADE,ALN,0.707
ADE,ASI,0.707
ADE,AVJ,0.707
ADE,AVL,0.707
ADE,BDU,0.707
ADE,CEPsh,0.707
ADE,RIF,0.707
ADE,RME,0.707
ADE,SAA,0.707
ADE,SMD,0.707
ADF,ADF,0.707
ADF,ADL,0.707
ADF,AVH,0.707
ADF,PVP,0.707
ADF,RIV,0.707
ADF,SMD,0.707
ADL,AWA,0.707
ADL,OLL,0.707
ADL,RIA,0.707
ADL,RIG,0.707
ADL,RIR,0.707
AFD,AIB,0.707
AIA,PVQ,0.707
AIB,ADL,0.707
AIB,AIY,0.707
AIB,AQR,0.707
AIB,AUA,0.707
AIB,AWC,0.707
AIB,RIC,0.707
AIB,RIF,0.707
AIM,AIM,0.707
AIM,ALM,0.707
AIM,AVA,0.707
AIM,OLQ,0.707
AIM,PVN,0.707
AIM,PVQ,0.707
AIM,RMD,0.707
AIN,hyp,0.707
AIN,RMF,0.707
AIY,AIN,0.707
AIY,BAG,0.707
AIY,RIH,0.707
AIY,RIV,0.707
AIZ,AFD,0.707
AIZ,MNVC,0.707
AIZ,MUHEAD,0.707
AIZ,SIA,0.707
ALM,AIM,0.707
ALM,ALM,0.707
ALM,hyp,0.707
ALM,SIA,0.707
ALM,SMD,0.707
ALM,URB,0.707
ALN,ADE,0.707
ALN,RIA,0.707
ALN,RMD,0.707
ALN,RMH,0.707
ASE,ADF,0.707
ASE,ASJ,0.707
ASE,AWA,0.707
ASE,AWB,0.707
ASE,IL2,0.707
ASE,OLL,0.707
ASE,RIR,0.707
ASG,AIY,0.707
ASH,AWA,0.707
ASH,AWB,0.707
ASH,PVP,0.707
ASI,ADF,0.707
ASI,ADL,0.707
ASI,AIZ,0.707
ASI,RIB,0.707
ASI,RMF,0.707
ASJ,CEP,0.707
ASJ,hyp,0.707
ASK,ALA,0.707
ASK,ASG,0.707
ASK,ASJ,0.707
AUA,AIB,0.707
AVA,PVN,0.707
AVA,SMD,0.707
AVB,AIB,0.707
AVB,AVL,0.707
AVB,SDQ,0.707
AVD,ALA,0.707
AVE,AIZ,0.707
AVE,ALM,0.707
AVE,CEP,0.707
AVE,OLL,0.707
AVE,PVT,0.707
AVE,RIM,0.707
AVE,URX,0.707
AVF,AIA,0.707
AVF,ASH,0.707
AVF,DVB,0.707
AVF,int,0.707
AVF,PDE,0.707
AVF,RMD,0.707
AVF,RMG,0.707
AVF,SMB,0.707
AVH,AQR,0.707
AVH,ASK,0.707
AVH,BDU,0.707
AVH,hyp,0.707
AVH,MUBODY,0.707
AVH,RIF,0.707
AVH,RIG,0.707
AVH,RIM,0.707
AVJ,AIN,0.707
AVJ,ASH,0.707
AVJ,AVF,0.707
AVJ,RIF,0.707
AVJ,RIS,0.707
AVK,PVQ,0.707
AVK,RIG,0.707
AVK,RMH,0.707
AWB,AIB,0.707
AWB,AIM,0.707
AWB,ASG,0.707
AWB,AWC,0.707
AWB,OLQ,0.707
AWB,RIF,0.707
AWB,URY,0.707
AWC,ADF,0.707
AWC,AIZ,0.707
AWC,ASH,0.707
AWC,AVA,0.707
AWC,SMD,0.707
BAG,ADF,0.707
BAG,AIN,0.707
BAG,RIP,0.707
BAG,SMD,0.707
BAG,URA,0.707
BAG,URX,0.707
BDU,AVB,0.707
BDU,CEP,0.707
LUA,hyp,0.707
OLL,IL2,0.707
OLL,OLQ,0.707
PHB,PVN,0.707
PVC,AVH,0.707
PVC,AVL,0.707
PVC,LUA,0.707
PVC,PVP,0.707
PVC,PVR,0.707
PVC,PVW,0.707
PVN,PVR,0.707
PVP,ADA,0.707
PVP,AVG,0.707
PVP,hyp,0.707
PVP,MNVC,0.707
PVP,PVQ,0.707
PVP,RIM,0.707
PVP,RIR,0.707
PVP,URX,0.707
PVQ,AVH,0.707
PVQ,CEPsh,0.707
PVQ,DVC,0.707
PVQ,MUBODY,0.707
PVQ,PVP,0.707
PVQ,PVT,0.707
PVW,AVA,0.707
PVW,AVJ,0.707
PVW,AVL,0.707
PVW,LUA,0.707
PVW,PVW,0.707
RIB,DVC,0.707
RIB,OLL,0.707
RIB,RME,0.707
RIC,AVK,0.707
RIC,OLQ,0.707
RIC,RMG,0.707
RIF,ADL,0.707
RIF,AIZ,0.707
RIF,RIA,0.707
RIG,ADF,0.707
RIG,AFD,0.707
RIG,AVD,0.707
RIM,RIC,0.707
RIP,IL1,0.707
RIP,URA,0.707
RIP,URB,0.707
RIV,SMB,0.707
RMF,BAG,0.707
RMF,RIB,0.707
RMF,RIH,0.707
RMF,RIS,0.707
RMF,SAA,0.707
RMF,SMD,0.707
RMG,ADL,0.707
RMG,AVF,0.707
RMG,PVP,0.707
RMG,RIF,0.707
RMG,RIR,0.707
RMH,AVA,0.707
RMH,RID,0.707
RMH,SAA,0.707
RMH,URX,0.707
SDQ,ADL,0.707
SDQ,AVE,0.707
SDQ,MUHEAD,0.707
SDQ,RIP,0.707
SDQ,SIB,0.707
URB,ADE,0.707
URB,AVD,0.707
URB,PVR,0.707
URB,URB,0.707
URB,URY,0.707
URX,AIZ,0.707
URX,ALM,0.707
URX,ASH,0.707
URX,ASI,0.707
URX,AVD,0.707
URX,RID,0.707
RIG,ADE,-0.707
PVP,ADL,-0.707
BAG,AFD,-0.707
FLP,AQR,-0.707
BAG,ASE,-0.707
ADL,ASK,-0.707
AVH,AUA,-0.707
AVK,AVA,-0.707
AVK,AVD,-0.707
RIM,AVD,-0.707
AIN,AVE,-0.707
AVA,AVF,-0.707
AVB,AVG,-0.707
ADL,AVH,-0.707
AVJ,AVL,-0.707
AVH,AVM,-0.707
ADA,hyp,-0.707
AVJ,MNVC,-0.707
RIA,OLQ,-0.707
RMG,PLN,-0.707
AVB,PQR,-0.707
AVJ,PQR,-0.707
PHB,PQR,-0.707
ADL,PVP,-0.707
ADE,PVQ,-0.707
ADL,PVQ,-0.707
RIC,RIA,-0.707
ASE,RIB,-0.707
AVH,RIC,-0.707
RMG,RIC,-0.707
AVD,RID,-0.707
ASH,RIF,-0.707
RIM,RIG,-0.707
AIZ,RIH,-0.707
ADF,RIP,-0.707
AVK,RIS,-0.707
RMG,RIV,-0.707
URB,RME,-0.707
AVA,RMH,-0.707
RIC,RMH,-0.707
ADA,SAA,-0.707
RIV,SDQ,-0.707
AVH,SIA,-0.707
AVJ,SMB,-0.707
PVP,SMB,-0.707
RIF,SMB,-0.707
MNVC,ADA,0.707
MNVC,PLM,-0.707
CEP,AFD,0.707
CEP,AIN,0.707
CEP,ALM,0.707
CEP,ASG,0.707
CEP,exc_gl,0.707
CEP,MUBODY,0.707
CEP,RIF,0.707
CEP,AVA,-0.707
CEP,RIV,-0.707
ASI,AIB,-0.703
AVK,AVE,-0.703
AIB,AVB,-0.699
ALA,AVD,0.687
AQR,RIG,0.687
AQR,RIR,0.687
AVL,PVW,0.687
AVM,AVK,0.687
AVM,hyp,0.687
DVA,hyp,0.687
DVA,SMD,0.687
DVA,URX,0.687
DVC,AVB,0.687
DVC,PVT,0.687
DVC,URA,0.687
PQR,AVG,0.687
PQR,AVH,0.687
PQR,AVJ,0.687
PVR,ADA,0.687
PVR,AVK,0.687
PVR,hyp,0.687
PVR,MUBODY,0.687
PVR,PDE,0.687
PVR,PVM,0.687
PVR,PVR,0.687
PVT,RIS,0.687
RID,FLP,0.687
RIR,ADA,0.687
RIR,AFD,0.687
RIR,AIM,0.687
RIR,AWB,0.687
RIR,BAG,0.687
DVA,ADE,-0.687
RIH,AVE,-0.687
RIH,DVA,-0.687
AVL,PVN,-0.687
DVB,PVN,-0.687
DVB,PVT,-0.687
AVL,RIA,-0.687
AVM,RIF,-0.687
RIH,RIS,-0.687
RID,RMG,-0.687
RIS,SMB,-0.687
DVC,SMD,-0.687
SMD,CEP,-0.687
RMG,AVB,0.670
RMH,RMG,0.670
RIG,OLQ,-0.670
RIR,ADF,0.662
AVG,PVQ,-0.662
RIS,SMD,0.652
AIZ,AVE,-0.651
PVR,MNVC,-0.650
AVG,AVF,0.649
PVP,AVH,0.639
RIC,RMF,-0.639
SIA,SMD,-0.629
ASI,AWC,0.625
PVC,AVA,0.622
AIA,RIF,-0.622
PVM,PVM,0.621
ASH,SMB,0.615
ASI,AIA,0.615
LUA,PQR,0.615
AVK,SMD,-0.615
ASJ,PVQ,0.614
LUA,PVC,0.611
AIB,AVE,-0.611
RIC,CEP,-0.611
PHA,PHB,0.609
ADL,ASH,-0.603
RIA,SMD,-0.602
RIS,CEP,0.594
CEP,IL2,-0.592
PLM,AVA,0.586
RIG,AVE,-0.586
ADA,RIC,0.585
PDE,PVC,-0.585
PLN,SMD,-0.585
PVN,AVG,-0.585
URB,OLL,-0.585
AWA,AIY,-0.582
AIA,AWC,-0.578
SAB,RIG,0.577
ADE,ADE,0.575
OLL,IL1,-0.575
BAG,RIG,0.573
RMD,OLQ,0.561
RMD,SMB,-0.561
MNVC,MNVC,0.534
AQR,AVB,0.530
ASH,RIA,0.524
RMG,RMD,-0.521
AWC,AIY,0.515
AVG,AVB,0.500
OLQ,AVA,0.500
OLQ,AVD,0.500
OLQ,MUHEAD,0.500
RME,OLL,0.500
RME,RIP,0.500
RME,RIS,0.500
SAA,ALN,0.500
SAA,ASI,0.500
SAA,AVB,0.500
SAA,PLN,0.500
SAA,RIA,0.500
SAA,RIG,0.500
SAA,RIV,0.500
SAA,RMD,0.500
SAA,RME,0.500
SAA,RMG,0.500
SAA,SAA,0.500
SAA,SIB,0.500
SIA,ADE,0.500
SIA,ALM,0.500
SIA,AVA,0.500
SIA,AVF,0.500
SIA,CEP,0.500
SIA,IL1,0.500
SIA,IL2,0.500
SIB,ALN,0.500
SIB,AVD,0.500
SIB,PVP,0.500
SIB,RID,0.500
SIB,SMB,0.500
SMB,AIM,0.500
SMB,AIZ,0.500
SMB,AVA,0.500
SMB,AVB,0.500
SMB,AVF,0.500
SMB,PVP,0.500
SMB,RIA,0.500
SMD,AIB,0.500
SMD,ASG,0.500
SMD,ASJ,0.500
SMD,AVA,0.500
SMD,IL2,0.500
SMD,MNVC,0.500
SMD,PVR,0.500
SMD,URY,0.500
URA,ADA,0.500
URA,AVE,0.500
URA,CEP,0.500
URA,CEPsh,0.500
URA,DVC,0.500
URA,RIB,0.500
SIB,AIB,-0.500
SIB,AVA,-0.500
SIA,AVK,-0.500
OLQ,RIA,-0.500
SIB,RIG,-0.500
SIA,RIV,-0.500
SIB,RMF,-0.500
SMB,RMH,-0.500
RME,GLR,0.500
SMB,RIV,-0.500
IL2,OLQ,0.499
DVC,AIB,-0.495
PVT,RMF,0.493
AVK,PVM,0.486
BAG,AIB,0.486
LUA,PVR,0.486
RIG,URY,0.486
RIM,RIS,0.486
ADF,AWA,-0.486
ADF,OLQ,-0.486
AIY,ADF,-0.486
AVA,RIG,-0.486
AVH,ASH,-0.486
AVH,AVG,-0.486
AVH,DVA,-0.486
AVJ,PVQ,-0.486
AVK,DVA,-0.486
AWA,AUA,-0.486
RIB,RIM,-0.486
RMG,ALM,-0.486
SDQ,PVC,-0.486
AVA,DA08,0.485
AWA,AFD,0.478
AVH,SMB,-0.478
PVN,AVA,-0.475
RIM,AVE,-0.475
URX,RIG,-0.474
PVR,PVC,0.474
RIR,AVE,0.474
PVT,AIB,0.470
AWB,SMB,0.460
RMG,SAA,0.460
PVP,AVD,-0.460
RME,IL1,0.460
RME,RIB,-0.460
ALM,PVC,-0.459
RIV,SMD,0.455
RIV,RMD,-0.455
ADL,AVD,-0.438
AVB,MNVC,0.436
CEP,RIP,-0.435
MNVC,AVE,0.424
MNVC,FLP,0.424
MNVC,PVT,0.424
MNVC,RID,0.424
MNVC,SMB,0.424
MNVC,AVH,-0.424
RME,RMD,-0.418
PVN,MNVC,0.416
DVA,AVD,0.414
PVR,DVA,0.414
PQR,PVP,-0.414
AVE,MNVC,0.413
IL2,URA,-0.410
RIR,RIA,-0.410
IL2,CEP,-0.408
RMD,RME,-0.408
IL1,AVL,0.408
IL1,RMG,0.408
IL1,URB,0.408
IL1,URX,0.408
IL2,ADL,0.408
IL2,AVA,0.408
IL2,BAG,0.408
IL2,DVC,0.408
IL2,RMG,0.408
IL2,RMH,0.408
IL2,SIA,0.408
RMD,AVA,0.408
RMD,GLR,0.408
RMD,RIB,0.408
RMD,RIV,0.408
RMD,RMF,0.408
RMD,URY,0.408
RMD,RIP,-0.408
RMD,RMG,-0.408
LUA,PVW,0.406
AIB,SIB,-0.406
RIH,CEPsh,0.406
IL1,MUHEAD,0.398
SAA,SMD,0.390
ASH,ADF,-0.383
PHA,DVA,-0.381
RIG,RIB,-0.378
SAA,hyp,0.369
CEP,AWC,-0.354
DVA,RIA,0.347
PVM,hyp,0.347
PVQ,ASK,0.338
DVA,AIZ,0.338
ADE,RIH,0.325
AVD,PVC,0.325
AVJ,ALM,0.325
AVK,AVK,0.325
AVK,PDE,0.325
BDU,RMG,0.325
PHC,AVH,0.325
AIM,RID,-0.325
LUA,MNVC,-0.325
PVC,MNVC,0.320
FLP,PVC,0.305
PVN,PVD,0.305
ADF,AWB,-0.305
ASI,ASG,-0.305
RIV,GLR,-0.291
PVT,AVL,0.287
DVC,MNVC,-0.287
OLL,RMD,-0.287
MNVC,PVN,-0.283
MNVC,AIB,0.283
MNVC,PDE,-0.283
MNVC,PVQ,-0.283
RMD,RIM,-0.281
RIA,RIV,0.273
PVQ,AIA,-0.273
AIZ,AVK,0.261
ASI,CEPsh,0.261
AUA,BAG,0.261
AVK,RMD,0.261
PDE,PVM,0.261
RMG,AVJ,0.261
ASI,ASK,-0.261
AVJ,AVH,-0.261
PVN,AVB,-0.261
PHB,MNVC,-0.258
SAA,SAB,0.257
AWA,AWB,0.251
PVP,AVA,0.250
RIM,RIB,0.250
AIM,ASK,-0.250
AVA,AVD,0.248
AWC,AIA,0.247
AVK,RIM,-0.247
RIS,RIB,-0.239
RIH,IL2,0.235
RIH,AIZ,-0.229
BAG,RIA,-0.228
IL2,RIA,0.227
ASH,AIB,-0.224
ALN,RIM,0.218
AVK,SIA,0.218
BDU,ALM,0.218
PHA,AVF,-0.218
OLQ,RME,0.217
RIS,RIS,-0.216
AWB,ADF,-0.213
PHA,PHA,0.208
AIN,AFD,-0.208
RIH,RME,0.203
SMB,RME,-0.200
AIA,ASG,0.188
RIB,RIS,0.188
AVH,ADF,-0.188
DVA,RIM,0.183
AIN,CEPsh,-0.179
PLM,MNVC,-0.179
RIB,RIG,-0.179
DVA,AQR,0.177
RIH,AIY,0.176
AVG,PVN,-0.176
AVD,MNVC,0.154
AIB,AIZ,-0.153
AQR,RIA,0.147
MNVC,AVD,0.141
MNVC,AVG,0.141
MNVC,PVD,0.141
MNVC,SAB,0.141
MNVC,AVB,-0.141
MNVC,DVC,-0.141
MNVC,DVA,0.141
MNVC,LUA,0.141
MNVC,PVW,0.141
MNVC,AVA,0.141
RIM,RMF,-0.129
CEP,IL1,0.128
RIC,SMB,-0.126
AIA,ADL,-0.123
RIB,BAG,0.122
PLM,hyp,-0.122
PVD,MNVC,0.111
AIZ,AIA,-0.109
MNVC,MUHEAD,-0.107
SIB,MUHEAD,0.100
SAA,RMF,0.091
RIG,AVK,0.085
SMD,MUHEAD,0.074
ALM,BDU,0.072
SMD,SIA,0.063
CEP,AVE,0.062
CEP,RMH,0.062
SAA,AVA,-0.055
ADA,RIF,0.000
ADL,CEP,0.000
AIA,ASH,0.000
AIB,DVA,0.000
AIY,RIR,0.000
ASK,RIF,0.000
AVD,AVB,0.000
AVF,PVD,0.000
AVH,SAB,0.000
AVL,DVB,0.000
AVL,RIS,0.000
DVC,PVD,0.000
MNVC,PHC,0.000
PLN,RMD,0.000
PVD,AVF,0.000
PVD,PVP,0.000
PVP,PVD,0.000
RIB,AIN,0.000
RIF,AVH,0.000
RIF,RIF,0.000
RIH,URA,0.000
RMD,MUBODY,0.000
SAA,MUBODY,0.000
SMB,AVJ,0.000
URX,IL2,0.000
ADA,URY,0.000
ADF,AFD,0.000
AIB,AIB,0.000
AVG,hyp,0.000
AVH,AVD,0.000
AVM,AVD,0.000
AWA,ASI,0.000
DVA,PDE,0.000
DVA,SAB,0.000
DVC,MUBODY,0.000
PVR,SAB,0.000
RIA,AUA,0.000
RIA,SAA,0.000
RID,hyp,0.000
RIH,AUA,0.000
RMH,IL1,0.000
SDQ,SAA,0.000
URX,IL1,0.000
AVH,ADL,0.000
BDU,SAA,0.000
PVC,PVD,0.000
PVD,AVD,0.000
PVT,DVC,0.000
RIA,CEP,0.000
RIG,RIA,0.000
RME,RMH,0.000
SMB,exc_gl,0.000
ADE,RIV,0.000
AVA,SAB,0.000
AVH,AWB,0.000
AVJ,SAB,0.000
PDE,PDE,0.000
PVD,PVR,0.000
RMG,ALN,0.000
SDQ,SIA,0.000
AQR,AVD,0.000
PVD,DVA,0.000
RIG,BAG,0.000
RMD,SIA,0.000
RMD,CEP,0.000
SMD,SMB,0.000
AIB,RMF,0.000
URB,CEP,0.000
ADA,AIB,0.000
PVD,AVG,0.000
SIA,SDQ,0.000
DVA,SAA,0.000
RIM,ADA,0.000
ADL,SMB,0.000
SDQ,SMB,0.000
SMB,SMD,0.000
PVD,PVD,0.000
SIA,SIB,0.000
PVD,hyp,0.000
SIB,SIA,0.000
PVM,AVK,0.000
PLM,AVD,0.000
AVD,SAB,0.000
AVL,SAB,0.000
AIB,SAA,0.000
PLM,DVA,0.000
RIM,MUHEAD,0.000
RMH,MUHEAD,0.000
SMB,SDQ,0.000
SMB,SIA,0.000
SAA,MUHEAD,0.000
RIV,MUHEAD,0.000
PLM,PDE,0.000
SIA,MUHEAD,0.000
RIH,RIA,0.000
AVE,SAB,0.000
PVD,AVA,0.000
PVD,PVC,0.000
URA,MUHEAD,0.000
SMB,MUBODY,0.000
SIA,MUBODY,0.000
RME,MUHEAD,0.000
SIB,MUBODY,0.000
SMB,MUHEAD,0.000
SAB,hyp,0.000
RMD,MUHEAD,0.000
SMD,MUBODY,0.000
SAB,MUHEAD,0.000
